Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    30425     0.00     0.00  _fini
  0.00      0.00     0.00     4996     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00      0.00     0.00     2516     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, long, Edge, __gnu_cxx::__ops::_Iter_comp_iter<CompareEdge> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, long, long, Edge, __gnu_cxx::__ops::_Iter_comp_iter<CompareEdge>)
  0.00      0.00     0.00     1844     0.00     0.00  void std::vector<Edge, std::allocator<Edge> >::_M_realloc_append<int&, int const&, int const&>(int&, int const&, int const&)
  0.00      0.00     0.00     1784     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~vector()
  0.00      0.00     0.00     1704     0.00     0.00  std::__basic_future<double>::_M_get_result() const
  0.00      0.00     0.00     1457     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_comp_iter<CompareEdge> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_comp_iter<CompareEdge>)
  0.00      0.00     0.00     1437     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_base(unsigned long, std::allocator<std::pair<int, int> > const&)
  0.00      0.00     0.00     1379     0.00     0.00  void std::vector<std::thread, std::allocator<std::thread> >::_M_realloc_append<LeaderFollowerThreadPool::LeaderFollowerThreadPool(unsigned long)::{lambda()#1}>(LeaderFollowerThreadPool::LeaderFollowerThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.00     0.00     1370     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<CompareEdge> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<CompareEdge>)
  0.00      0.00     0.00     1274     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.00     0.00     1273     0.00     0.00  std::thread::thread<LeaderFollowerThreadPool::LeaderFollowerThreadPool(unsigned long)::{lambda()#1}, , void>(LeaderFollowerThreadPool::LeaderFollowerThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.00     0.00     1155     0.00     0.00  std::pair<int, std::pair<int, int> >* std::__do_uninit_copy<std::pair<int, std::pair<int, int> >*, std::pair<int, std::pair<int, int> >*>(std::pair<int, std::pair<int, int> >*, std::pair<int, std::pair<int, int> >*, std::pair<int, std::pair<int, int> >*)
  0.00      0.00     0.00     1139     0.00     0.00  std::__basic_future<int>::_M_get_result() const
  0.00      0.00     0.00     1082     0.00     0.00  std::__shared_ptr<void, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<void, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      0.00     0.00     1075     0.00     0.00  PrimMST::findMST(Graph const&)
  0.00      0.00     0.00     1017     0.00     0.00  calculateAverageDistanceAsync(Graph const&, std::vector<std::pair<int, std::pair<int, int> >, std::allocator<std::pair<int, std::pair<int, int> > > > const&)::{lambda()#1}::operator()() const
  0.00      0.00     0.00      966     0.00     0.00  std::function<void ()>::swap(std::function<void ()>&)
  0.00      0.00     0.00      848     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > > std::__allocate_guarded<std::allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >(std::allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >&)
  0.00      0.00     0.00      847     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      0.00     0.00      820     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::front()
  0.00      0.00     0.00      819     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      0.00     0.00      792     0.00     0.00  std::function<void ()>::function(std::function<void ()>&&)
  0.00      0.00     0.00      775     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, long, Edge, __gnu_cxx::__ops::_Iter_comp_val<CompareEdge> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, long, long, Edge, __gnu_cxx::__ops::_Iter_comp_val<CompareEdge>&)
  0.00      0.00     0.00      749     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~_Vector_base()
  0.00      0.00     0.00      723     0.00     0.00  std::_Deque_base<std::function<void ()>, std::allocator<std::function<void ()> > >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.00     0.00      712     0.00     0.00  std::pair<int, std::pair<int, int> >* std::__copy_move_a2<false, std::pair<int, std::pair<int, int> > const*, std::pair<int, std::pair<int, int> >*>(std::pair<int, std::pair<int, int> > const*, std::pair<int, std::pair<int, int> > const*, std::pair<int, std::pair<int, int> >*)
  0.00      0.00     0.00      679     0.00     0.00  std::function<std::shared_ptr<void> (std::shared_ptr<void>)>::function(std::function<std::shared_ptr<void> (std::shared_ptr<void>)> const&)
  0.00      0.00     0.00      673     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
